Time,Charge
499,-1795.940171
499.5,-1795.940171
500,-1795.940171
500.5,-1795.940171
501,-1795.940171
501.5,-1795.940171
502,-1795.940171
502.5,-1795.940171
503,-1795.940171
503.5,-1795.940171
504,-1795.940171
504.5,-1795.940171
505,-1795.940171
505.5,-1795.940171
506,-1795.940171
506.5,-1795.940171
507,-1795.940171
507.5,-1795.940171
508,-1795.940171
508.5,-1899.57265
509,-1922.008547
509.5,-1935.897436
510,-1967.948718
510.5,-1993.589744
511,-2009.615385
511.5,-2029.91453
512,-2051.282051
512.5,-2077.991453
513,-2094.017094
513.5,-2107.905983
514,-2123.931624
514.5,-2139.957265
515,-2139.957265
515.5,-2160.25641
516,-2174.145299
516.5,-2192.307692
517,-2209.401709
517.5,-2225.42735
518,-2241.452991
518.5,-2254.273504
519,-2266.025641
519.5,-2278.846154
520,-2291.666667
520.5,-2304.487179
521,-2317.307692
521.5,-2317.307692
522,-2371.794872
522.5,-2429.487179
523,-2480.769231
523.5,-2518.162393
524,-2551.282051
524.5,-2584.401709
525,-2613.247863
525.5,-2641.025641
526,-2668.803419
526.5,-2696.581197
527,-2724.358974
527.5,-2751.068376
528,-2776.709402
528.5,-2800.213675
529,-2822.649573
529.5,-2842.948718
530,-2861.111111
530.5,-2878.205128
531,-2895.299145
531.5,-2912.393162
532,-2930.555556
532.5,-2948.717949
533,-2962.606838
533.5,-2963.675214
534,-2963.675214
534.5,-2948.717949
535,-2948.717949
535.5,-2946.581197
536,-2945.512821
536.5,-2945.512821
537,-2949.786325
537.5,-2956.196581
538,-2962.606838
538.5,-2970.08547
539,-2978.632479
539.5,-2987.179487
540,-2995.726496
540.5,-3004.273504
541,-3013.888889
541.5,-3023.504274
542,-3033.119658
542.5,-3042.735043
543,-3051.282051
543.5,-3059.82906
544,-3068.376068
544.5,-3076.923077
545,-3081.196581
545.5,-3066.239316
546,-3045.940171
546.5,-2986.111111
547,-2928.418803
547.5,-2872.863248
548,-2819.444444
548.5,-2767.094017
549,-2716.880342
549.5,-2667.735043
550,-2619.65812
550.5,-2572.649573
551,-2522.435897
551.5,-2522.435897
552,-2472.222222
552.5,-2469.017094
553,-2458.333333
553.5,-2467.948718
554,-2464.74359
554.5,-2473.290598
555,-2480.769231
555.5,-2486.111111
556,-2487.179487
556.5,-2487.179487
557,-2486.111111
557.5,-2485.042735
558,-2483.974359
558.5,-2482.905983
559,-2481.837607
559.5,-2479.700855
560,-2477.564103
560.5,-2475.42735
561,-2473.290598
561.5,-2471.153846
562,-2469.017094
562.5,-2466.880342
563,-2464.74359
563.5,-2462.606838
564,-2460.470085
564.5,-2458.333333
565,-2456.196581
565.5,-2454.059829
566,-2450.854701
566.5,-2436.965812
567,-2435.897436
567.5,-2418.803419
568,-2396.367521
568.5,-2349.358974
569,-2271.367521
569.5,-2188.034188
570,-2111.111111
570.5,-2111.111111
571,-2047.008547
571.5,-2017.094017
572,-1976.495726
572.5,-1917.735043
573,-1885.683761
573.5,-1885.683761
574,-1849.358974
574.5,-1851.495726
575,-1797.008547
575.5,-1771.367521
576,-1740.384615
576.5,-1712.606838
577,-1682.692308
577.5,-1682.692308
578,-1682.692308
578.5,-1682.692308
579,-1682.692308
579.5,-1682.692308
580,-1682.692308
580.5,-1682.692308
581,-1682.692308
581.5,-1682.692308
582,-1682.692308
582.5,-1682.692308
583,-1682.692308
583.5,-1682.692308
584,-1682.692308
584.5,-1682.692308
585,-1682.692308
585.5,-1682.692308
586,-1682.692308
586.5,-1682.692308
587,-1682.692308
587.5,-1682.692308
588,-1682.692308
588.5,-1682.692308
589,-1682.692308
589.5,-1682.692308
590,-1682.692308
590.5,-1682.692308
591,-1682.692308
591.5,-1682.692308
592,-1682.692308
592.5,-1682.692308
593,-1682.692308
593.5,-1682.692308
594,-1682.692308
594.5,-1682.692308
595,-1682.692308
595.5,-1682.692308
596,-1682.692308
