Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],U_R [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irreversibel [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C]
857.0,0.5,-500,-10.683760683760683,-3364.3162393162675,33.31192341608994,-0.030503385262466518,-0.02345379985754986,-19.458266636787716,-0.021277431380574804,-15.836551073552116,0,0,45.87730830780271,293.15,293.15,3.604258332485415,0.0021952756666666668,0.0015683711194970115,0.0013425680725633732,8631.471559546522,7106.329369022386
857.5,0.5,-500,-10.683760683760683,-3369.658119658148,33.28542599375919,-0.02999466301820296,-0.02345379985754986,-19.142785847391377,-0.020914813519911125,-15.555119971197698,0,0,45.88689272872585,293.15,293.15,3.6041242555284216,0.0021952756666666668,0.001567631168379456,0.0013435647245257365,8624.063574936934,7104.987024578154
858.0,0.5,-500,-10.683760683760683,-3375.000000000028,33.25892857142843,-0.02950380986323142,-0.02345379985754986,-18.838416506130876,-0.020571936060044625,-15.288776570814361,0,0,45.89598822627783,293.15,293.15,3.6039901785714283,0.0021952756666666668,0.0015668912172619007,0.0013445613764881009,8616.655590327342,7103.644680133921
858.5,0.5,-500,-10.683760683760683,-3380.3418803419086,33.23243114909768,-0.029030211228610065,-0.02345379985754986,-18.54478177712242,-0.02024774429310779,-15.036704106884255,0,0,45.90461650105717,293.15,293.15,3.6038561016144346,0.0021952756666666668,0.001566151266144346,0.0013455580284504644,8609.247605717752,7102.30233568969
859.0,0.5,-500,-10.683760683760683,-3385.683760683789,33.205933726766915,-0.02857327286195699,-0.023453799857549862,-18.261517096196116,-0.01994124042401895,-14.798130464440675,0,0,45.9127982496809,293.15,293.15,3.603722024657441,0.002195275666666667,0.0015654113150267903,0.0013465546804128283,8601.839621108162,7100.959991245458
859.5,0.5,-500,-10.683760683760683,-3391.0256410256693,33.179436304436166,-0.02813242018356378,-0.02345379985754985,-17.988269788216797,-0.019651480468950544,-14.572325714167224,0,0,45.92055321347498,293.15,293.15,3.6035879477004475,0.0021952756666666663,0.0015646713639092351,0.001347551332375192,8594.431636498572,7099.6176468012245
860.0,0.5,-500,-10.683760683760683,-3396.3675213675497,33.1529388821054,-0.027707097662014114,-0.02345379985754986,-17.724698695795563,-0.019377571324491513,-14.358599784901886,0,0,45.927900224692166,293.15,293.15,3.603453870743453,0.0021952756666666668,0.0015639314127916795,0.0013485479843375558,8587.023651888978,7098.275302356991
860.5,0.5,-500,-10.683760683760683,-3401.70940170943,33.126441459774654,-0.027296768208744583,-0.02345379985754985,-17.470473819069788,-0.019118667998016946,-14.156300265811634,0,0,45.93485725038793,293.15,293.15,3.6033197937864596,0.0021952756666666663,0.0015631914616741243,0.0013495446362999193,8579.615667279388,7096.932957912759
861.0,0.5,-500,-10.683760683760683,-3407.0512820513104,33.0999440374439,-0.026900912591000414,-0.02345379985754986,-17.22527596623768,-0.018873970990310532,-13.96481033094297,0,0,45.94144143407787,293.15,293.15,3.6031857168294663,0.0021952756666666668,0.001562451510556569,0.0013505412882622832,8572.2076826698,7095.5906134685265
861.5,0.5,-500,-10.683760683760683,-3412.393162393191,33.07344661511314,-0.026519028862653646,-0.02345379985754986,-16.988796414542122,-0.018642723821987683,-13.78354677926789,0,0,45.94766913529365,293.15,293.15,3.603051639872472,0.0021952756666666668,0.001561711559439014,0.001351537940224647,8564.799698060207,7094.248269024294
862.0,0.5,-500,-10.683760683760683,-3417.735042735071,33.046949192782385,-0.02615063181236605,-0.02345379985754986,-16.76073658140657,-0.018424210695741,-13.611958183735668,0,0,45.95355596714768,293.15,293.15,3.602917562915479,0.0021952756666666668,0.0015609716083214587,0.0013525345921870109,8557.391713450617,7092.905924580063
862.5,0.5,-500,-10.683760683760683,-3423.0769230769515,33.02045177045163,-0.025795252428593256,-0.02345379985754986,-16.540807705433856,-0.01821775428687673,-13.449523143208788,0,0,45.95911683201105,293.15,293.15,3.602783485958485,0.0021952756666666668,0.001560231657203903,0.0013535312441493746,8549.983728841027,7091.563580135829
863.0,0.5,-500,-10.683760683760683,-3428.418803418832,32.99395434812087,-0.02545243738094043,-0.02345379985754985,-16.328730536986633,-0.018022713655032586,-13.295748631508623,0,0,45.96436595540359,293.15,293.15,3.6026494090014918,0.0021952756666666663,0.001559491706086348,0.001354527896111738,8542.575744231435,7090.221235691596
863.5,0.5,-500,-10.683760683760683,-3433.7606837607123,32.96745692579012,-0.025121748517393357,-0.02345379985754986,-16.12423503807551,-0.01783848227036519,-13.15016843812368,0,0,45.96931691818946,293.15,293.15,3.602515332044498,0.0021952756666666668,0.0015587517549687925,0.001355524548074102,8535.167759621845,7088.878891247365
864.0,0.5,-500,-10.683760683760683,-3439.1025641025926,32.94095950345936,-0.024802762376961943,-0.02345379985754986,-15.927060091288766,-0.017664486147870733,-13.01234169544163,0,0,45.97398268716658,293.15,293.15,3.6023812550875043,0.0021952756666666668,0.0015580118038512375,0.0013565212000364658,8527.759775012255,7087.536546803131
864.5,0.5,-500,-10.683760683760683,-3444.444444444473,32.914462081128605,-0.024495069717285958,-0.02345379985754986,-15.736953217504277,-0.017500182083856668,-12.88185148765741,0,0,45.978375644133635,293.15,293.15,3.6022471781305105,0.0021952756666666668,0.001557271852733682,0.0013575178519988297,8520.351790402665,7086.1942023589
