Zeit [s],Leistung [kW],Leistung [W],Current [A],Charge [C],SOC [%],U_R1 [V],I_R1 [A],U_R2 [V],I_R2 [A],Q_Irrev [W],Q_Sum_Cell [W],U_ges [V],Temperatur [K],Output Temperature [K],OCV [V],R [Ohm],R1 [Ohm],R2 [Ohm],C1 [C],C2 [C],U_R [V],Q_Irreversibel [W],Delta OCV [V],Q_Reversibel [W],Q_Cell [W]
672.5,-8.5,8500,177.8067207151588,-2617.431643440272,17.016708117855792,0.04134151408444797,36.35001154538084,0.020670152255909804,12.942204471208553,0,319.67051136234807,49.189237267262754,313.15,315.59976077238434,3.4937907072230594,0.0012822074869652594,0.00084285077070975,0.001082529043139154,6607.731239728956,12377.513229495638,0.2279851085337175,41.83228724068408,-0.0003096658376428842,-17.242247905118845,24.590039335565237
673.0,-4.6,4600,93.51639211249712,-2570.673447384024,17.248643614166546,0.044704053069712604,49.10094000858728,0.02367401958364739,19.095464543999654,0,61.09363134939778,47.89338144165955,313.15,315.6027442055039,3.4958827653997826,0.0012815445932273534,0.000841969910906344,0.0010824639645860285,6604.4516210143465,12387.519062725862,0.1198454266898998,13.632125277668642,-0.0003050271277166691,-8.932615173868813,4.699510103799829
673.5,-1.8,1800,37.58348117876449,-2551.8817067946416,17.341856613121816,0.04352952696098443,53.09730705146993,0.024308218638441913,21.87055624623104,0,14.736582023110937,46.96542479048829,313.15,315.59533406031375,3.4967235466503594,0.0012815122528123377,0.0008419269366406602,0.0010824607896165028,6604.291619155438,12388.007214567915,0.04816369163392857,4.701588007189844,-0.00030316286773756366,-3.568004774642849,1.1335832325469952
674.0,-4.7,4700,100.07361843242332,-2501.84489757843,17.590055071535566,0.04719191819921697,51.69570799163113,0.02744128659045133,22.456279048786936,0,81.71788672166213,48.124038407252534,313.15,315.60295513098157,3.498962296745251,0.0012815925787861989,0.0008420336745950225,0.001082468675493014,6604.689026088223,12386.794760365152,0.1282536067152755,15.630964356719225,-0.0002981988985692887,-9.344973070437524,6.285991286281702
674.5,-2.1,2100,43.63723555842561,-2480.0262797992173,17.698282342265788,0.046251979342660725,56.052474919074825,0.028179352949825716,25.35084184490232,0,22.56586732168119,47.193788086810635,313.15,315.5972972457095,3.499938506727238,0.0012815099663801596,0.0008419238984068019,0.0010824605651496093,6604.2803071979815,12388.041726372383,0.05592155227340111,5.781145476967025,-0.00029603435315468424,-4.0453095291453955,1.7358359478216299
675.0,-4.3,4300,91.11368623536562,-2434.4694366815343,17.924258746619373,0.04899120923568361,54.93073981093695,0.03080632229325239,26.032538377833937,0,72.74652781026418,48.08105939707969,313.15,315.60290082304437,3.5019768138945073,0.0012815712978565088,0.0008420053962836262,0.0010824665862711159,6604.583740231253,12387.115978414575,0.11676868512114824,13.913460868385899,-0.0002915148250676125,-8.317574113750192,5.595886754635707
675.5,-2.1,2100,43.67624229443555,-2412.6313155343164,18.032582760246445,0.04789243012115294,58.18953923102441,0.03142049206906475,28.459531589670416,0,28.79054684789275,47.29709899452347,313.15,315.598637042814,3.5029538964974236,0.001281510555078199,0.0008419246806746219,0.0010824606229441161,6604.283219738856,12388.032840461918,0.05597156550647202,6.172137050921064,-0.0002893483447950711,-3.9574796010831603,2.2146574498379037
676.0,0.0,0,-0.0,-2412.6313155343164,18.032582760246445,0.04358625951868339,56.88030986084922,0.030248860218052148,29.026792932292032,0,47.270240971196294,46.49825721104407,313.15,315.59852996554974,3.5029538964974236,0.001281556774455896,0.000841986097444194,0.0010824651604590375,6604.511886759534,12387.33519714626,-0.0,3.6361723823997147,-0.0002893483447950711,0.0,3.6361723823997147
676.5,2.8,-2800,-60.21731066804276,-2442.739970868338,17.88323427148642,0.03510848485926697,51.765913723085724,0.0266903123052174,27.94441626270261,0,172.39611754596942,45.32103677363415,313.15,315.6264422992214,3.501606773128808,0.0012815579351734406,0.0008419876398172316,0.001082465274410662,6604.517629325444,12387.317677074014,-0.07717197232143448,7.748657923307159,-0.00029233531457027164,5.512581887921258,13.261239811228418
677.0,-0.8,800,17.65184684533532,-2433.9140474456703,17.927013653543302,0.033286195898677075,41.717070256758404,0.02640763543339507,24.657645260700548,0,11.841334701267952,46.59605623358644,313.15,315.61828035363243,3.502001663154961,0.0012812553654764395,0.0008415855821893245,0.0010824355701051685,6603.020687683043,12391.88471663947,0.02261652348115424,2.5219667908650054,-0.00029145972692913396,-1.6110948907674707,0.9108719000975347
677.5,-1.9,1900,40.77598306765026,-2413.526055911845,18.028144563929338,0.033379309357349084,39.54624136344689,0.027068610268029043,24.396300581627578,0,5.138070145195433,47.00292789861649,313.15,315.60865301209355,3.5029138639666435,0.0012813438409666244,0.0008417031493021723,0.0010824442560476645,6603.458413757076,12390.549252221681,0.05224805476309302,4.091058345100749,-0.00028943710872141325,-3.695822180085716,0.39523616501503334
678.0,-2.5,2500,53.18817596623776,-2386.9319679287264,18.16005968289322,0.03440428618620562,39.65033381470387,0.028205971613644687,25.006695645319027,0,11.033171545573836,47.25333455133866,313.15,315.6003877756746,3.5041037383396976,0.0012814482013489058,0.0008418418244179006,0.0010824545014645301,6603.974729183248,12388.974018483243,0.06815789242496448,5.6255912328244335,-0.00028679880634213564,-4.776885729318754,0.8487055035056796
678.5,-2.6,2600,55.02257194516537,-2359.4206819561437,18.29652439505881,0.03547633190383902,40.86209588768651,0.029375096908923638,26.0572082981845,0,14.638343351386135,47.32909459804768,313.15,315.59296592177424,3.5053346500434306,0.001281537796511687,0.0008419608793628498,0.0010824632973291271,6604.417994756285,12387.62165353278,0.070513505609013,6.0206345541553,-0.0002840695120988238,-4.894608142510212,1.1260264116450873
679.0,-2.5,2500,52.82163162493974,-2333.0098661436737,18.427530425874636,0.03628571194411431,42.13001909679641,0.030411901236467045,27.137070276358763,0,15.75816586700703,47.33184436078798,313.15,315.58582723326265,3.5065163244413893,0.001281618249407967,0.000842067785972987,0.0010824711956660478,6604.816029628539,12386.407283540977,0.06769716705402777,5.8676474299651975,-0.0002814493914825073,-4.655480824810811,1.212166605154387
679.5,-1.8,1800,38.0293653101591,-2313.995183488594,18.52184928825102,0.035902939670252945,43.08593929807263,0.03081297059075224,28.094685496591765,0,12.248080418661928,47.09672580959958,313.15,315.57793371667645,3.5073670805800248,0.0012816956327914328,0.0008421706137839146,0.001082478792658362,6605.198878308654,12385.239245308796,0.04874207143586093,4.271446823411637,-0.0002795630142349796,-3.329286791206873,0.9421600322047636
680.0,0.0,0,-0.0,-2313.995183488594,18.52184928825102,0.032676470134124586,42.62567764582615,0.02966370157676248,28.464974728340064,0,31.29720830720372,46.40619427978185,313.15,315.5743402635648,3.5073670805800243,0.001281781198511227,0.000842284314364877,0.001082487192938713,6605.622208504611,12383.94770147073,-0.0,2.407477562092594,-0.0002795630142349796,0.0,2.407477562092594
680.5,0.0,0,-0.0,-2313.995183488594,18.52184928825102,0.029740218055694847,38.79267561123636,0.02855724963007459,27.403184976503777,0,27.0463388965793,46.35363912745532,313.15,315.56981062107553,3.5073670805800243,0.0012818201515429571,0.0008423360755415332,0.0010824910170915143,6605.81492580536,12383.35973764332,-0.0,2.080487607429177,-0.0002795630142349796,0.0,2.080487607429177
681.0,0.0,0,-0.0,-2313.995183488594,18.52184928825102,0.027068117849673813,35.30409708955167,0.027492009175958915,26.380932507832522,0,23.44313947043915,46.30505369887354,313.15,315.5644939073156,3.5073670805800243,0.0012818692528675409,0.0008424013218708414,0.0010824958375370514,6606.057851049345,12382.618593720737,-0.0,1.8033184208030115,-0.0002795630142349796,0.0,1.8033184208030115
681.5,0.0,0,-0.0,-2313.995183488594,18.52184928825102,0.02463642663687966,32.12917238045954,0.026466437553888732,25.396740132106157,0,20.382487283054914,46.26010928202031,313.15,315.55851504953785,3.5073670805800243,0.0012819268860446988,0.0008424779054108539,0.0010825014955838349,6606.3429870154605,12381.748668533342,-0.0,1.5678836371580704,-0.0002795630142349796,0.0,1.5678836371580704
682.0,0.0,0,-0.0,-2313.995183488594,18.52184928825102,0.022423522444248778,29.239827309256853,0.025479052009032267,24.4491874597905,0,17.77682079585622,46.21850551543297,313.15,315.55197882218346,3.5073670805800243,0.0012819916968630097,0.0008425640266719416,0.0010825078582842817,6606.663633840866,12380.770402783573,-0.0,1.3674477535274017,-0.0002795630142349796,0.0,1.3674477535274017
682.5,0.0,0,-0.0,-2313.995183488594,18.52184928825102,0.020409718614650286,26.61046088542419,0.024528426929211367,23.53690838802464,0,15.553178938263477,46.17996793961052,313.15,315.54497320430556,3.5073670805800248,0.001282062549567531,0.0008426581764516227,0.0010825148141374325,6607.014172460319,12379.70093975381,-0.0,1.1963983798664213,-0.0002795630142349796,0.0,1.1963983798664213
683.0,0.0,0,-0.0,-2313.995183488594,18.52184928825102,0.018577093460854645,24.217737806711945,0.023613191291602807,22.658588760653046,0,13.650737787090259,46.14424574932226,313.15,315.5375721707308,3.5073670805800243,0.0012821384904653274,0.0008427590874732212,0.001082522269515978,6607.389884547152,12378.55467465089,-0.0,1.0500567528530969,-0.0002795630142349796,0.0,1.0500567528530969
