Time,Charge
426,-2331.41133031491
426.5,-2331.41133031491
427,-2331.41133031491
427.5,-2331.41133031491
428,-2331.41133031491
428.5,-2331.41133031491
429,-2331.41133031491
429.5,-2331.41133031491
430,-2331.41133031491
430.5,-2331.41133031491
431,-2331.41133031491
431.5,-2331.41133031491
432,-2331.41133031491
432.5,-2331.41133031491
433,-2331.41133031491
433.5,-2331.41133031491
434,-2331.41133031491
434.5,-2331.41133031491
435,-2331.41133031491
435.5,-2331.41133031491
436,-2331.41133031491
436.5,-2331.41133031491
437,-2331.41133031491
437.5,-2331.41133031491
438,-2331.41133031491
438.5,-2331.41133031491
439,-2331.41133031491
439.5,-2331.41133031491
440,-2331.41133031491
440.5,-2431.90388645449
441,-2454.44633311003
441.5,-2467.54706616765
442,-2500.00504001185
442.5,-2526.54913758458
443,-2543.06303782704
443.5,-2562.69045188766
444,-2582.39948235498
444.5,-2607.60865946548
445,-2624.16484776907
445.5,-2640.58366383597
446,-2664.67519758083
446.5,-2629.31348104222
447,-2635.53850208033
447.5,-2690.67935819017
448,-2731.78985511259
448.5,-2776.89627125245
449,-2829.12528413524
449.5,-2883.06191066386
450,-2929.19059986717
450.5,-2954.40935930628
451,-2976.85209711542
451.5,-2980.21036720276
452,-2980.21036720276
452.5,-2980.21036720276
453,-2982.39105888226
453.5,-2974.74901188682
454,-2968.27344727034
454.5,-2961.79983340492
455,-2955.33522832245
455.5,-2948.87914341585
456,-2942.43116346492
456.5,-2935.99089595349
457,-2935.99089595349
457.5,-2943.53966594928
458,-2948.9725945782
458.5,-2951.14078305421
459,-2951.14078305421
459.5,-2950.06360771447
460,-2948.98824240433
460.5,-2947.91349530034
461,-2946.83933869412
461.5,-2945.76574513585
462,-2944.6926885993
462.5,-2943.6201444004
463,-2942.54808912204
463.5,-2941.47650054334
464,-2940.40535757324
464.5,-2939.33464018804
465,-2938.26432937268
465.5,-2937.19440706544
466,-2936.12485610599
466.5,-2935.05566018643
467,-2933.98680380519
467.5,-2932.91827222365
468,-2931.85005142525
468.5,-2930.78212807696
469,-2929.71448949297
469.5,-2928.64712360042
470,-2927.58001890716
470.5,-2926.51316447127
471,-2925.44654987229
471.5,-2924.38016518415
472,-2923.31400094954
472.5,-2922.24804815573
473,-2921.18229821175
473.5,-2920.11674292682
474,-2919.05137448998
474.5,-2917.98618545081
475,-2911.59608495337
475.5,-2920.06605451107
476,-2881.35209710038
476.5,-2842.47326698347
477,-2765.96039241503
477.5,-2725.80525569985
478,-2713.67038852319
478.5,-2647.20046562663
479,-2624.61096246084
479.5,-2582.67406119933
480,-2547.60534359975
480.5,-2516.39280237301
481,-2482.07898437739
481.5,-2482.07898437739
482,-2491.43381584713
482.5,-2458.8625014952
483,-2432.66600557979
483.5,-2411.39842157729
484,-2386.9916053275
484.5,-2361.66267360017
485,-2348.51341257504
485.5,-2348.51341257504
486,-2348.51341257504
486.5,-2348.51341257504
487,-2348.51341257504
487.5,-2348.51341257504
488,-2348.51341257504
488.5,-2348.51341257504
489,-2348.51341257504
489.5,-2348.51341257504
490,-2348.51341257504
490.5,-2348.51341257504
491,-2348.51341257504
491.5,-2348.51341257504
492,-2348.51341257504
492.5,-2348.51341257504
493,-2348.51341257504
493.5,-2348.51341257504
494,-2348.51341257504
494.5,-2348.51341257504
495,-2348.51341257504
495.5,-2348.51341257504
496,-2348.51341257504
496.5,-2348.51341257504
497,-2348.51341257504
497.5,-2348.51341257504
498,-2348.51341257504
498.5,-2348.51341257504
499,-2348.51341257504
499.5,-2348.51341257504
500,-2348.51341257504
500.5,-2348.51341257504
501,-2348.51341257504
501.5,-2348.51341257504
502,-2348.51341257504
502.5,-2348.51341257504
503,-2348.51341257504
503.5,-2348.51341257504
504,-2348.51341257504
504.5,-2348.51341257504
505,-2348.51341257504
505.5,-2348.51341257504
506,-2348.51341257504
506.5,-2348.51341257504
507,-2348.51341257504
507.5,-2348.51341257504
508,-2348.51341257504
508.5,-2450.93914459734
509,-2475.89121573845
509.5,-2490.10271767105
510,-2522.56216763903
510.5,-2549.08240338808
511,-2565.58106446449
511.5,-2586.27933512891
512,-2608.18547804926
512.5,-2635.63354799216
513,-2652.2230210956
513.5,-2666.44779139459
514,-2682.82805349256
514.5,-2699.25460899008
515,-2699.25460899008
515.5,-2719.71206772709
516,-2734.02034221989
516.5,-2752.61950295585
517,-2770.21548724157
517.5,-2786.70477355037
518,-2803.18365482265
518.5,-2816.3732786855
519,-2828.42542051808
519.5,-2841.5596895869
520,-2854.71176647876
520.5,-2867.8671315821
521,-2881.02555040968
521.5,-2881.02555040968
522,-2936.16487364288
522.5,-2998.26690651309
523,-3054.10804184021
523.5,-3094.67691644756
524,-3130.08861795816
524.5,-3165.35829965863
525,-3196.11651452891
525.5,-3225.62441571786
526,-3255.11992528508
526.5,-3284.64086941307
527,-3314.18774791765
527.5,-3342.62253115458
528,-3369.90744212991
528.5,-3394.9034549682
529,-3418.71568205707
529.5,-3440.2399380403
