Batterie Ladung [C],Zeit [s]
-2445.8775743537735,226.5
-2445.8775743537735,227.0
-2445.8775743537735,227.5
-2445.8775743537735,228.0
-2445.8775743537735,228.5
-2445.8775743537735,229.0
-2445.8775743537735,229.5
-2445.8775743537735,230.0
-2445.8775743537735,230.5
-2445.8775743537735,231.0
-2445.8775743537735,231.5
-2445.8775743537735,232.0
-2445.8775743537735,232.5
-2445.8775743537735,233.0
-2445.8775743537735,233.5
-2445.8775743537735,234.0
-2445.8775743537735,234.5
-2445.8775743537735,235.0
-2445.8775743537735,235.5
-2445.8775743537735,236.0
-2445.8775743537735,236.5
-2445.8775743537735,237.0
-2445.8775743537735,237.5
-2445.8775743537735,238.0
-2445.8775743537735,238.5
-2445.8775743537735,239.0
-2445.8775743537735,239.5
-2445.8775743537735,240.0
-2445.8775743537735,240.5
-2445.8775743537735,241.0
-2445.8775743537735,241.5
-2445.8775743537735,242.0
-2445.8775743537735,242.5
-2445.8775743537735,243.0
-2445.8775743537735,243.5
-2445.8775743537735,244.0
-2445.8775743537735,244.5
-2445.8775743537735,245.0
-2546.483736025817,245.5
-2560.833242057877,246.0
-2577.0912077838766,246.5
-2609.7028353681067,247.0
-2635.2088866561653,247.5
-2651.7369070089812,248.0
-2671.3909472664377,248.5
-2690.033925097958,249.0
-2714.1534174114327,249.5
-2730.717562755722,250.0
-2747.154870407953,250.5
-2770.177242211941,251.0
-2734.8039483721423,251.5
-2734.8039483721423,252.0
-2783.136660510019,252.5
-2822.9054271344166,253.0
-2868.019744527613,253.5
-2921.4885294752594,254.0
-2975.6374385765394,254.5
-3020.741234241748,255.0
-3045.9797118878028,255.5
-3068.4343130462066,256.0
-3069.5541388436363,256.5
-3067.3683562023,257.0
-3057.5797959743704,257.5
-3057.5797959743704,258.0
-3043.4468123382812,258.5
-3037.033616306403,259.0
-3030.5763030905896,259.5
-3024.127351196255,260.0
-3017.686011391021,260.5
-3011.2519205524504,261.0
-3004.8247330528943,261.5
-3011.2453440265476,262.0
-3015.5844810569943,262.5
-3015.5844810569943,263.0
-3015.5844810569943,263.5
-3014.5083954744123,264.0
-3013.4341198906955,264.5
-3012.3603927088056,265.0
-3011.287189907735,265.5
-3010.214487362487,266.0
-3009.1422621862384,266.5
-3008.070492659912,267.0
-3006.999158167494,267.5
