Zeit [s],Leistung [kW],Leistung [W],Strom [A],Ladungsmenge[t],SOC [%],OCV,R,R1,C1,R2,C2
375.0,0.0,-0.0,-0.0,-2403.3333333333157,28.078703703703795,3.5746657407407416,0.00178,0.0014530415046296308,8630.759842129639,0.0012784422685185172,7226.566496527782
375.5,-6.0,6000.0,133.33333333333334,-2336.666666666649,28.409391534391624,3.576874735449736,0.00178,0.0014571066501322763,8668.134809060857,0.0012730064219576705,7241.670851686512
376.0,-2.3,2300.0,51.11111111111112,-2311.111111111093,28.53615520282196,3.5777215167548504,0.00178,0.0014586649559082906,8682.461879717823,0.0012709226807760127,7247.460854497358
376.5,-3.6,3600.0,80.0,-2271.111111111093,28.73456790123465,3.5790469135802474,0.00178,0.0014611040432098777,8704.886859876553,0.0012676611728395049,7256.523467592597
377.0,-5.3,5300.0,117.77777777777776,-2212.2222222222044,29.02667548500891,3.5809981922398593,0.00178,0.0014646949217372147,8737.901413999129,0.0012628595083774236,7269.865647982808
377.5,-2.9,2900.0,64.44444444444444,-2179.9999999999823,29.186507936508026,3.5820658730158734,0.00178,0.0014666597420634933,8755.965981349216,0.001260232182539681,7277.166086309528
378.0,-4.0,4000.0,88.88888888888889,-2135.555555555538,29.40696649029991,3.5835385361552032,0.00178,0.0014693698390652568,8780.882625970029,0.00125660828483245,7287.235656415348
378.5,-9.0,9000.0,200.0,-2035.555555555538,29.90299823633166,3.5868520282186953,0.00178,0.0014754675573192251,8836.945076366854,0.0012484545149911803,7309.892189153443
379.0,5.2,-5200.0,-115.55555555555556,-2093.333333333316,29.61640211640221,3.5849375661375666,0.00178,0.0014719444312169326,8804.553438359799,0.0012531655820105804,7296.801748015878
379.5,-4.5,4500.0,100.0,-2043.333333333316,29.86441798941808,3.586594312169313,0.00178,0.0014749932903439164,8832.584663558211,0.0012490886970899456,7308.130014384925
380.0,-2.1,2100.0,46.66666666666666,-2019.9999999999825,29.98015873015882,3.5873674603174606,0.00178,0.0014764160912698423,8845.665901984137,0.0012471861507936492,7313.416538690481
380.5,-2.3,2300.0,51.11111111111112,-1994.4444444444268,30.106922398589155,3.5880410273368613,0.00178,0.001479288794091713,8872.077545282207,0.0012433448192239829,7324.090283002653
381.0,-2.9,2900.0,64.44444444444444,-1962.222222222205,30.26675485008827,3.5888497795414467,0.00178,0.0014832184347442702,8908.206679982382,0.0012380901675484981,7338.691159656092
381.5,-3.9,3900.0,86.66666666666667,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
382.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
382.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
383.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
383.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
384.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
384.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
385.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
385.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
386.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
386.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
387.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
387.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
388.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
388.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
389.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
389.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
390.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
390.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
391.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
391.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
392.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
392.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
393.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
393.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
394.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
394.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
395.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
395.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
396.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
396.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
397.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
397.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
398.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
398.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
399.0,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
399.5,0.0,-0.0,-0.0,-1918.8888888888716,30.48170194003536,3.589937411816579,0.00178,0.0014885031238977095,8956.794136992967,0.0012310235670193975,7358.3268213624415
