U_Batterie [V],Zeit [s]
49.4015661314878,483.0
49.180633822130865,483.5
49.374463182283115,484.0
49.45774536084899,484.5
48.841978643979616,485.0
48.13569888073805,485.5
48.09264311904959,486.0
48.05178973938069,486.5
48.01301584211567,487.0
47.97620569967524,487.5
47.94125033593391,488.0
47.90804712895156,488.5
47.87649943601716,489.0
47.84651623998988,489.5
47.81801181592354,490.0
47.79090541697086,490.5
47.76512097858319,491.0
47.7405868400465,491.5
47.717235482424044,492.0
47.69500328200928,492.5
47.6738302784274,493.0
47.65365995656084,493.5
47.63443904151063,494.0
47.61611730584339,494.5
47.59864738841,495.0
47.58198462405909,495.5
47.56608688360319,496.0
47.550914423430314,496.5
47.53642974418663,497.0
47.52259745798795,497.5
47.50938416364839,498.0
47.496758329443445,498.5
47.484690182952995,499.0
47.47315160755605,499.5
47.46211604517399,500.0
47.45155840488326,500.5
47.44145497704056,501.0
47.43178335258556,501.5
47.42252234720536,502.0
47.413651930064745,502.5
47.405153156824014,503.0
47.39700810668245,503.5
47.38919982320228,504.0
47.38171225868228,504.5
47.374530221864454,505.0
47.367639328770636,505.5
47.36102595647785,506.0
47.35467719965351,506.5
47.34858082968208,507.0
47.34272525622535,507.5
47.33709949106819,508.0
41.72977318751781,508.5
45.64202095652797,509.0
46.16275153215453,509.5
45.14072658506643,510.0
45.371603242420576,510.5
45.84788285074968,511.0
45.58734783128847,511.5
45.47575309491494,512.0
45.12734220195744,512.5
45.65145929746027,513.0
45.75286442687393,513.5
45.61728505680602,514.0
45.589234470689185,514.5
46.45395953319231,515.0
45.37546912833273,515.5
45.66874514431147,516.0
45.419033092183824,516.5
45.44228008855224,517.0
45.47565527130711,517.5
45.453946514312825,518.0
45.610505848435736,518.5
45.6617511722517,519.0
45.596399895167615,519.5
45.585121068569414,520.0
45.57476255837193,520.5
45.5645458175376,521.0
46.268197839731144,521.5
43.31222149508157,522.0
42.78147797193689,522.5
42.963672537608275,523.0
43.65898505301351,523.5
43.85902065862596,524.0
43.806023395319066,524.5
43.9892169321063,525.0
44.014081797591025,525.5
43.9775134364277,526.0
43.939927823554164,526.5
43.903314727835195,527.0
43.928437094903074,527.5
43.96023319352564,528.0
44.05721072909178,528.5
44.10339077233145,529.0
44.2123197641745,529.5
44.33000774506016,530.0
44.39473656468065,530.5
44.40165562892167,531.0
44.40680759663895,531.5
44.351606378990226,532.0
44.350509900973655,532.5
44.589334544819025,533.0
45.32122987288241,533.5
45.43972111031959,534.0
46.3164341893883,534.5
45.608936924834424,535.0
45.77757577600832,535.5
45.77656524572424,536.0
45.769611219224835,536.5
45.58261638125626,537.0
45.49323941075232,537.5
45.511767063268174,538.0
45.47171961709242,538.5
45.426446641071344,539.0
45.43502420579551,539.5
45.44357862294779,540.0
45.451617538773625,540.5
45.40061468119676,541.0
45.403272496515086,541.5
45.40621772982871,542.0
45.408885812207686,542.5
45.46995332091296,543.0
45.47645369197725,543.5
45.48203048702423,544.0
45.48721843531001,544.5
45.726616302808715,545.0
46.797707496304255,545.5
47.15027217415684,546.0
49.335503354936534,546.5
49.30659581376879,547.0
49.39532738857763,547.5
49.462493633744614,548.0
49.570021202419674,548.5
49.61135843769804,549.0
49.696111603348946,549.5
49.76923948791787,550.0
49.83384016171772,550.5
50.10141220073316,551.0
47.73887673985388,551.5
50.28793578746346,552.0
47.97904909658646,552.5
48.33745085041959,553.0
47.294321696306284,553.5
47.88027605470383,554.0
47.24800826409275,554.5
47.23536950011008,555.0
47.29021044150969,555.5
47.46627637849474,556.0
47.49108926775044,556.5
47.52066938020824,557.0
47.49944853454703,557.5
47.4793524957842,558.0
47.460268641976,558.5
47.44214422287568,559.0
47.48065276206063,559.5
47.46765934855156,560.0
47.45545598461608,560.5
47.443892543568374,561.0
47.43293596078241,561.5
47.422554718176485,562.0
47.41271899813469,562.5
47.403400588985946,563.0
47.39457279629511,563.5
47.386210359114955,564.0
47.37828937092376,564.5
47.37078720498727,565.0
47.36368244389734,565.5
47.413197763322174,566.0
47.97224866336999,566.5
47.32861319008077,567.0
48.163981270994555,567.5
48.46691586315998,568.0
49.78176392533821,568.5
51.396762689773745,569.0
51.7293977812662,569.5
51.589772362497705,570.0
48.09364288470765,570.5
51.33040932021848,571.0
49.62995378252402,571.5
50.24191286476189,572.0
51.17028112833987,572.5
49.95068875798628,573.0
48.44981371706998,573.5
50.2242152666809,574.0
48.33800539689464,574.5
51.13291176776615,575.0
49.70847787467205,575.5
50.01814679062138,576.0
49.88199352936148,576.5
50.00898730734817,577.0
48.57315555224551,577.5
48.51175408172622,578.0
48.453445977368595,578.5
48.39805981399888,579.0
48.34543408437537,579.5
48.29541663551445,580.0
48.247864132686146,580.5
48.202641550577255,581.0
48.15962169095015,581.5
48.118684725998634,582.0
48.07971776650958,582.5
48.042614453876254,583.0
48.007274574968584,583.5
47.97360369884524,584.0
47.94151283428602,584.5
47.910918107129234,585.0
47.88174045641385,585.5
47.85390534834921,586.0
47.82734250716207,586.5
47.80198566190333,587.0
47.77777230833068,587.5
47.754643485019706,588.0
47.73254356289351,588.5
47.71142004739792,589.0
47.691223392587176,589.5
47.671906826422045,590.0
47.653426186618134,590.5
47.63573976641759,591.0
47.61880816969183,591.5
47.602594174814875,592.0
47.587062606779426,592.5
47.57218021705711,593.0
47.5579155707335,593.5
47.54423894047599,594.0
47.53112220691787,594.5
47.518538765067845,595.0
47.50646343637632,595.5
47.49487238611261,596.0
47.48374304572791,596.5
45.182609293750794,597.0
42.81308960657794,597.5
45.64449541543476,598.0
44.67505577462037,598.5
45.559975799429,599.0
44.36888036778251,599.5
44.83068002203132,600.0
45.93310657194114,600.5
46.84905250535384,601.0
47.558818973373214,601.5
47.34968307744863,602.0
47.30166870364737,602.5
47.408542484189645,603.0
47.458937169852305,603.5
47.50761311924131,604.0
47.55403464551928,604.5
47.598328920804775,605.0
47.64060856069634,605.5
47.68098015756251,606.0
47.71954451089936,606.5
47.756396941192335,607.0
47.79162758672419,607.5
48.10178558004356,608.0
47.15576319523661,608.5
47.59022016064721,609.0
48.15831539932107,609.5
48.08492652768506,610.0
48.56484329427692,610.5
48.778745244312695,611.0
48.84105043728275,611.5
48.63306008696492,612.0
47.59416418546569,612.5
47.57531323834853,613.0
47.557420516703424,613.5
47.54043255325507,614.0
47.524299033132706,614.5
47.50897260287638,615.0
47.49440869107869,615.5
47.48056533997017,616.0
47.46740304729363,616.5
47.45488461784858,617.0
47.44297502412171,617.5
47.43164127545191,618.0
47.42085229521087,618.5
47.41057880550957,619.0
47.400793218970605,619.5
47.39146953713283,620.0
47.382583255081215,620.5
47.37411127191895,621.0
47.366031806721956,621.5
47.35832431963809,622.0
47.35096943781352,622.5
47.34394888584838,623.0
47.33724542050208,623.5
47.33084276938582,624.0
47.324725573395725,624.5
47.318879332655875,625.0
47.313290355754134,625.5
47.30794571206742,626.0
47.302833186985545,626.5
47.29794123985494,627.0
47.293258964473885,627.5
47.2887760519822,628.0
47.28448275599771,628.5
47.280369859860606,629.0
47.276428645856306,629.5
47.27265086629468,630.0
47.26902871633146,630.5
47.265554808424724,631.0
47.262222148325996,631.5
47.259024112511675,632.0
47.255954426966305,632.5
47.25300714723504,633.0
47.25017663966727,633.5
47.24745756377872,634.0
47.2448448556634,634.5
47.184843854269815,635.0
41.64786548236353,635.5
45.489379357507886,636.0
46.72131897850316,636.5
45.00286786952162,637.0
45.318021129727356,637.5
45.79598804195352,638.0
45.537952057468964,638.5
45.48721486220853,639.0
44.96950137691208,639.5
45.539915961896234,640.0
45.522356146692296,640.5
44.96223905604398,641.0
48.05475972026051,641.5
46.510916579307654,642.0
43.35621098973301,642.5
43.89807208592602,643.0
43.81591787962859,643.5
43.277648861343714,644.0
43.05466571849581,644.5
43.28390907767958,645.0
44.42135027680763,645.5
44.48824410128723,646.0
45.30308472170008,646.5
45.75018155127641,647.0
43.83409105086206,647.5
46.09706062708524,648.0
46.15561917952975,648.5
46.2269059362003,649.0
46.29476338461317,649.5
46.35947350167715,650.0
46.42119445824266,650.5
46.48007703773001,651.0
46.536264234210506,651.5
46.58989164957092,652.0
45.843061575806374,652.5
45.95171831069268,653.0
46.1327466026872,653.5
46.32333183553517,654.0
46.40759087020748,654.5
46.43660895346902,655.0
46.46436382465844,655.5
46.49085873955201,656.0
46.57350037868095,656.5
46.60101355864164,657.0
46.6274219914398,657.5
46.65266154210934,658.0
46.676789745035315,658.5
46.69986088227802,659.0
46.72192643070988,659.5
46.74303521175395,660.0
46.76323353362617,660.5
46.78256532584495,661.0
46.80107226642026,661.5
46.8187939021132,662.0
46.83576776213886,662.5
46.852029465666476,663.0
46.8676128234536,663.5
46.882549933933625,664.0
46.89687127405973,664.5
46.91060578519264,665.0
46.92378095430388,665.5
46.93642289075276,666.0
46.94855639902141,666.5
46.960205047851154,667.0
46.97139123376154,667.5
46.982136243186545,668.0
46.99246031052109,668.5
47.00238267302136,669.0
47.011921622731215,669.5
47.193732166948024,670.0
46.581025321395266,670.5
48.82376064085227,671.0
49.239623575201875,671.5
51.32461132316807,672.0
50.22329867387218,672.5
52.086942239514585,673.0
50.145048337210866,673.5
48.8499238773287,674.0
50.476555127784785,674.5
49.13124355326039,675.0
50.37565211412319,675.5
49.24738113095539,676.0
48.15690489941844,676.5
46.56284330921656,677.0
48.43006763380737,677.5
49.00444536403026,678.0
49.341066141432,678.5
49.426334549518984,679.0
49.411786890669596,679.5
49.072567469223486,680.0
48.11826040965644,680.5
48.07535974036858,681.0
48.034637710295904,681.5
47.99597357488015,682.0
47.95925359736463,682.5
47.924370639569624,683.0
47.891223775275115,683.5
47.859717925242435,684.0
47.829763512894,684.5
47.80127613967061,685.0
47.77417627909625,685.5
47.74838898859825,686.0
47.72384363815531,686.5
47.70047365487406,687.0
47.67821628262675,687.5
47.657012355916414,688.0
47.63680608717106,688.5
47.617544866704144,689.0
47.59917907461461,689.5
47.581661903935355,690.0
47.56494919437396,690.5
47.548999276023864,691.0
47.533772822457266,691.5
47.51923271264313,692.0
47.50534390116447,692.5
47.49207329623864,693.0
47.479389645072615,693.5
47.46726342611224,694.0
47.4556667477697,694.5
47.44457325323825,695.0
47.43395803102595,695.5
47.423797530862,696.0
47.41406948465003,696.5
47.404752832162174,697.0
47.3958276511859,697.5
47.38727509185332,698.0
47.37907731489872,698.5
47.371217433605565,699.0
47.36367945921876,699.5
47.35644824961155,700.0
47.349509461009305,700.5
47.34284950258428,701.0
47.336455493747366,701.5
47.330315223972654,702.0
47.324417115001424,702.5
47.318750185281104,703.0
41.855275759829084,703.5
45.89793642998131,704.0
46.935864135963435,704.5
45.28134552305644,705.0
45.49047220149531,705.5
45.90352291537123,706.0
